name,picurl
Barkhad Abdi,Barkhad_Abdi_at_LFCC_Awards.jpg
Amy Adams,Amy_Adams_UK_Nocturnal_Animals_Premiere_(cropped).jpg
Casey Affleck,Casey_Affleck_at_the_Manchester_by_the_Sea_premiere_(30199719155)_(cropped).jpg
Shohreh Aghdashloo,Shohreh_Aghdashloo_by_Gage_Skidmore.jpg
Brian Aherne,Brian_Aherne_in_I_Confess_trailer.jpg
Riz Ahmed,Riz_Ahmed_at_the_Rogue_One_-_A_Star_Wars_Story_-_World_Premeire_Red_Carpet_-_DSC_0437_(31547570706)_(cropped).jpg
Danny Aiello,Danny_Aiello.jpg
Anouk Aimée,Anouk_Aim%C3%A9e_Cannes.jpg
Eddie Albert,Eddie_Albert_Robert_Wagner_Switch_1975_(cropped).JPG
Jack Albertson,Jack_Albertson_1971.JPG
Alan Alda,Alan_Alda_2015.jpg
Norma Aleandro,Norma_Aleandro.jpg
Jane Alexander,JaneAlexanderMarch08.jpg
Mahershala Ali,Mahershala_Ali_by_Gage_Skidmore_(cropped).jpg
Joan Allen,JoanAllen2000TIFF.jpg
Woody Allen,Woody_Allen_Cannes_2016.jpg
Sara Allgood,Sara_Allgood_-_Project_Gutenberg_eText_19028.jpg
Don Ameche,Don_Ameche_1964.JPG
Judith Anderson,Judith_Anderson_1934-09-11.jpg
Julie Andrews,"Julie_Andrews_Park_Hyatt,_Sydney,_Australia_2013.jpg"
Ann-Margret,Ann_Margret_1968.jpg
Yalitza Aparicio,Yalitza_Aparicio_Oscars_2019.jpg
Anne Archer,"Anne_Archer,_1989-03-cropped.jpg"
Eve Arden,Eve_Arden_5_Allan_Warren.jpg
Alan Arkin,AlanArkinTIFFSept2012_(cropped).jpg
George Arliss,George_Arliss_cph.3b31151.jpg
Patricia Arquette,Patricia_Arquette_2015.jpg
Jean Arthur,Jean_Arthur_-_signed.jpg
Peggy Ashcroft,Peggy-Ashcroft-1936-3.jpg
Fred Astaire,"Astaire,_Fred_-_Never_Get_Rich.jpg"
Mary Astor,Mary_Astor-1930s.JPG
Mischa Auer,Mischa_Auer_1940s.jpg
Dan Aykroyd,Dan_Aykroyd_cropped.jpg
Lew Ayres,Lew_Ayres-publicity.JPG
Lauren Bacall,Lauren_Bacall_1945_press_photo.jpg
Hermione Baddeley,Hermione_Baddley_2_Allan_Warren.jpg
Mary Badham,Mary_Badham_Speaks_to_Birmingham_Southern.jpg
Fay Bainter,Fay_Bainter_circa_1950s.jpg
Maria Bakalova,Maria_bakalova_2021_1.jpg
Carroll Baker,Carroll_Baker_headshot_for_Station_Six-Sahara_1962.png
Alec Baldwin,Alec_Baldwin_by_Gage_Skidmore.jpg
Christian Bale,Christian_Bale-7837.jpg
Martin Balsam,Martin_Balsam_Film_Still.jpg
Anne Bancroft,Anne_Bancroft_1952.jpg
George Bancroft,George_Bancroft_United_States_Secretary_of_Navy_c._1860.jpg
Antonio Banderas,Antonio_Banderas_2019_(cropped).jpg
Ian Bannen,Ian_Bannen_1966.jpg
Javier Bardem,Premios_Goya_2018_-_Javier_Bardem_(cropped_2).jpg
Sacha Baron Cohen,"Sacha_Baron_Cohen,_2011.jpg"
Marie-Christine Barrault,Marie-Christine_Barrault_July_2013.jpg
Adriana Barraza,Adriana_Barraza_adj.jpg
Barbara Barrie,Barney_Miller_1975.JPG
Ethel Barrymore,Studio_publicity_Ethel_Barrymore.jpg
Lionel Barrymore,Lionel_Barrymore_2.jpg
Richard Barthelmess,Richard_Barthelmess_-_publicity.JPG
Mikhail Baryshnikov,Mikhail_Baryshnikov.jpg
Kim Basinger,Kim_Basinger_(1990).jpg
Albert Bassermann,Foreign_Correspondent_trailer_20_Basserman.jpg
Angela Bassett,Angela_Bassett_by_Gage_Skidmoe.jpg
Alan Bates,Alan_Bates.jpg
Kathy Bates,Kathy_Bates_by_Gage_Skidmore.jpg
Anne Baxter,Anne_Baxter_publicity_photo.JPG
Warner Baxter,Warner_Baxter_promo.jpg
Ned Beatty,Ned_Beatty_cropped.jpg
Warren Beatty,"Warren_Beatty_Photoplay,_1961.jpg"
Ed Begley,Ed_Begley_1958.jpg
Bérénice Bejo,B%C3%A9r%C3%A9nice_Bejo_Cannes_2016.jpg
Barbara Bel Geddes,1952_Barbara_Bel_Geddes.JPG
Ralph Bellamy,RBellamy34.jpg
William Bendix,William_Bendix_1960.JPG
Roberto Benigni,Roberto_Benigni-5274.jpg
Annette Bening,AnnetteBeningSept2013TIFF.jpg
